"SIC87_4","Desc_4_Digit","SIC87_2","Desc_2_Digit","SIC87_1","Desc_1_Digit"
"3144","Women's Footwear, Except Athletic","31","Leather and leather products","D","Manufacturing"
"3149","Footwear, Except Rubber, NEC","31","Leather and leather products","D","Manufacturing"
"3151","Leather Gloves and Mittens","31","Leather and leather products","D","Manufacturing"
"3161","Luggage","31","Leather and leather products","D","Manufacturing"
"3171","Women's Handbags and Purses","31","Leather and leather products","D","Manufacturing"
"3172","Personal Leather Goods, Except Women's","31","Leather and leather products","D","Manufacturing"
"3199","Leather Goods, NEC","31","Leather and leather products","D","Manufacturing"
"3211","Flat Glass","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3221","Glass Containers","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3229","Pressed and Blown Glass and Glassware, NEC","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3231","Glass Products, Made of Purchased Glass","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3241","Cement, Hydraulic","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3251","Brick and Structural Clay Tile","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3253","Ceramic Wall and Floor Tile","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3255","Clay Refractories","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3259","Structural Clay Products, NEC","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3261","Vitreous China Plumbing Fixtures and China","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3262","Vitreous China Table and Kitchen Articles","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3263","Fine Earthenware (Whiteware) Table and","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3264","Porcelain Electrical Supplies","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3269","Pottery Products, NEC","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3271","Concrete Block and Brick","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3272","Concrete Products, Except Block and Brick","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3273","Ready-Mixed Concrete","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3274","Lime","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3275","Gypsum Products","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3281","Cut Stone and Stone Products","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3291","Abrasive Products","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3292","Asbestos Products","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3295","Minerals and Earths, Ground or Otherwise","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3296","Mineral Wool","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3297","Nonclay Refractories","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3299","Nonmetallic Mineral Products, NEC","32","Stone, clay, glass, and concrete products","D","Manufacturing"
"3312","Steel Works, Blast Furnaces (Including Coke","33","Primary metal industries","D","Manufacturing"
"3313","Electrometallurgical Products, Except Steel","33","Primary metal industries","D","Manufacturing"
"3315","Steel Wiredrawing and Steel Nails and Spikes","33","Primary metal industries","D","Manufacturing"
"3316","Cold-Rolled Steel Sheet, Strip, and Bars","33","Primary metal industries","D","Manufacturing"
"3317","Steel Pipe and Tubes","33","Primary metal industries","D","Manufacturing"
"3321","Gray and Ductile Iron Foundries","33","Primary metal industries","D","Manufacturing"
"3322","Malleable Iron Foundries","33","Primary metal industries","D","Manufacturing"
"3324","Steel Investment Foundries","33","Primary metal industries","D","Manufacturing"
"3325","Steel Foundries, NEC","33","Primary metal industries","D","Manufacturing"
"3331","Primary Smelting and Refining of Copper","33","Primary metal industries","D","Manufacturing"
"3334","Primary Production of Aluminum","33","Primary metal industries","D","Manufacturing"
"3339","Primary Smelting and Refining of Nonferrous","33","Primary metal industries","D","Manufacturing"
"3341","Secondary Smelting and Refining of Nonferrous","33","Primary metal industries","D","Manufacturing"
"3351","Rolling, Drawing, and Extruding of Copper","33","Primary metal industries","D","Manufacturing"
"3353","Aluminum Sheet, Plate, and Foil","33","Primary metal industries","D","Manufacturing"
"3354","Aluminum Extruded Products","33","Primary metal industries","D","Manufacturing"
"3355","Aluminum Rolling and Drawing, NEC","33","Primary metal industries","D","Manufacturing"
"3356","Rolling, Drawing, and Extruding of Nonferrous","33","Primary metal industries","D","Manufacturing"
"3357","Drawing and Insulating of Nonferrous Wire","33","Primary metal industries","D","Manufacturing"
"3363","Aluminum Die-Castings","33","Primary metal industries","D","Manufacturing"
"3364","Nonferrous Die-Castings, Except Aluminum","33","Primary metal industries","D","Manufacturing"
"3365","Aluminum Foundries","33","Primary metal industries","D","Manufacturing"
"3366","Copper Foundries","33","Primary metal industries","D","Manufacturing"
"3369","Nonferrous Foundries, Except Aluminum and","33","Primary metal industries","D","Manufacturing"
"3398","Metal Heat Treating","33","Primary metal industries","D","Manufacturing"
"3399","Primary Metal Products, NEC","33","Primary metal industries","D","Manufacturing"
"3411","Metal Cans","34","Fabricated metal products","D","Manufacturing"
"3412","Metal Shipping Barrels, Drums, Kegs, and","34","Fabricated metal products","D","Manufacturing"
"3421","Cutlery","34","Fabricated metal products","D","Manufacturing"
"3423","Hand and Edge Tools, Except Machine Tools and","34","Fabricated metal products","D","Manufacturing"
"3425","Saw Blades and Handsaws","34","Fabricated metal products","D","Manufacturing"
"3429","Hardware, NEC","34","Fabricated metal products","D","Manufacturing"
"3431","Enameled Iron and Metal Sanitary Ware","34","Fabricated metal products","D","Manufacturing"
"3432","Plumbing Fixture Fittings and Trim","34","Fabricated metal products","D","Manufacturing"
"3433","Heating Equipment, Except Electric and Warm","34","Fabricated metal products","D","Manufacturing"
"3441","Fabricated Structural Metal","34","Fabricated metal products","D","Manufacturing"
"3442","Metal Doors, Sash, Frames, Molding, and Trim","34","Fabricated metal products","D","Manufacturing"
"3443","Fabricated Plate Work (Boiler Shops)","34","Fabricated metal products","D","Manufacturing"
"3444","Sheet Metal Work","34","Fabricated metal products","D","Manufacturing"
"3446","Architectural and Ornamental Metal Work","34","Fabricated metal products","D","Manufacturing"
"3448","Prefabricated Metal Buildings and Components","34","Fabricated metal products","D","Manufacturing"
"3449","Miscellaneous Structural Metal Work","34","Fabricated metal products","D","Manufacturing"
"3451","Screw Machine Products","34","Fabricated metal products","D","Manufacturing"
"3452","Bolts, Nuts, Screws, Rivets, and Washers","34","Fabricated metal products","D","Manufacturing"
"3462","Iron and Steel Forgings","34","Fabricated metal products","D","Manufacturing"
"3463","Nonferrous Forgings","34","Fabricated metal products","D","Manufacturing"
"3465","Automotive Stamping","34","Fabricated metal products","D","Manufacturing"
"3466","Crowns and Closures","34","Fabricated metal products","D","Manufacturing"
"3469","Metal Stamping, NEC","34","Fabricated metal products","D","Manufacturing"
"3471","Electroplating, Plating, Polishing,","34","Fabricated metal products","D","Manufacturing"
"3479","Coating, Engraving, and Allied Services, NEC","34","Fabricated metal products","D","Manufacturing"
"3482","Small Arms Ammunition","34","Fabricated metal products","D","Manufacturing"
"3483","Ammunition, Except for Small Arms","34","Fabricated metal products","D","Manufacturing"
"3484","Small Arms","34","Fabricated metal products","D","Manufacturing"
"3489","Ordnance and Accessories, NEC","34","Fabricated metal products","D","Manufacturing"
"3491","Industrial Valves","34","Fabricated metal products","D","Manufacturing"
"3492","Fluid Power Valves and Hose Fittings","34","Fabricated metal products","D","Manufacturing"
"3493","Steel Springs, Except Wire","34","Fabricated metal products","D","Manufacturing"
"3494","Valves and Pipe Fittings, NEC","34","Fabricated metal products","D","Manufacturing"
"3495","Wire Springs","34","Fabricated metal products","D","Manufacturing"
"3496","Miscellaneous Fabricated Wire Products","34","Fabricated metal products","D","Manufacturing"
"3497","Metal Foil and Leaf","34","Fabricated metal products","D","Manufacturing"
"3498","Fabricated Pipe and Pipe Fittings","34","Fabricated metal products","D","Manufacturing"
"3499","Fabricated Metal Products, NEC","34","Fabricated metal products","D","Manufacturing"
"3511","Steam, Gas, and Hydraulic Turbines, and","35","Industrial machinery and equipment","D","Manufacturing"
"3519","Internal Combustion Engines, NEC","35","Industrial machinery and equipment","D","Manufacturing"
"3523","Farm Machinery and Equipment","35","Industrial machinery and equipment","D","Manufacturing"
"3524","Lawn and Garden Tractors and Home Lawn and","35","Industrial machinery and equipment","D","Manufacturing"
"3531","Construction Machinery and Equipment","35","Industrial machinery and equipment","D","Manufacturing"
"3532","Mining Machinery and Equipment, Except Oil","35","Industrial machinery and equipment","D","Manufacturing"
"3533","Oil and Gas Field Machinery and Equipment","35","Industrial machinery and equipment","D","Manufacturing"
"3534","Elevators and Moving Stairways","35","Industrial machinery and equipment","D","Manufacturing"
"3535","Conveyors and Conveying Equipment","35","Industrial machinery and equipment","D","Manufacturing"
"3536","Overhead Traveling Cranes, Hoists, and","35","Industrial machinery and equipment","D","Manufacturing"
"3537","Industrial Trucks, Tractors, Trailers, and","35","Industrial machinery and equipment","D","Manufacturing"
"3541","Machine Tools,  Metal Cutting Type","35","Industrial machinery and equipment","D","Manufacturing"
"3542","Machine Tools, Metal Forming Type","35","Industrial machinery and equipment","D","Manufacturing"
"3543","Industrial Patterns","35","Industrial machinery and equipment","D","Manufacturing"
"3544","Special Dies and Tools, Die Sets, Jigs and","35","Industrial machinery and equipment","D","Manufacturing"
"3545","Cutting Tools, Machine Tool Accessories, and","35","Industrial machinery and equipment","D","Manufacturing"
"3546","Power-Driven Handtools","35","Industrial machinery and equipment","D","Manufacturing"
"3547","Rolling Mill Machinery and Equipment","35","Industrial machinery and equipment","D","Manufacturing"
"3548","Electric and Gas Welding and Soldering","35","Industrial machinery and equipment","D","Manufacturing"
"3549","Metalworking Machinery, NEC","35","Industrial machinery and equipment","D","Manufacturing"
"3552","Textile Machinery","35","Industrial machinery and equipment","D","Manufacturing"
"3553","Woodworking Machinery","35","Industrial machinery and equipment","D","Manufacturing"
"3554","Paper Industries Machinery","35","Industrial machinery and equipment","D","Manufacturing"
"3555","Printing Trades Machinery and Equipment","35","Industrial machinery and equipment","D","Manufacturing"
"3556","Food Products Machinery","35","Industrial machinery and equipment","D","Manufacturing"
"3559","Special  Industry Machinery, NEC","35","Industrial machinery and equipment","D","Manufacturing"
"3561","Pumps and Pumping Equipment","35","Industrial machinery and equipment","D","Manufacturing"
"3562","Ball and Roller Bearings","35","Industrial machinery and equipment","D","Manufacturing"
"3563","Air and Gas Compressors","35","Industrial machinery and equipment","D","Manufacturing"
"3564","Industrial and Commercial Fans and Blowers","35","Industrial machinery and equipment","D","Manufacturing"
"3565","Packaging Machinery","35","Industrial machinery and equipment","D","Manufacturing"
"3566","Speed Changers, Industrial High-Speed Drives,","35","Industrial machinery and equipment","D","Manufacturing"
"3567","Industrial Process Furnaces and Ovens","35","Industrial machinery and equipment","D","Manufacturing"
"3568","Mechanical Power Transmission Equipment, NEC","35","Industrial machinery and equipment","D","Manufacturing"
"3569","General Industrial Machinery and Equipment,","35","Industrial machinery and equipment","D","Manufacturing"
"3571","Electronic Computers","35","Industrial machinery and equipment","D","Manufacturing"
"3572","Computer Storage Devices","35","Industrial machinery and equipment","D","Manufacturing"
"3575","Computer Terminals","35","Industrial machinery and equipment","D","Manufacturing"
"3577","Computer Peripheral Equipment, NEC","35","Industrial machinery and equipment","D","Manufacturing"
"3578","Calculating and Accounting Machines, Except","35","Industrial machinery and equipment","D","Manufacturing"
"3579","Office Machines, NEC","35","Industrial machinery and equipment","D","Manufacturing"
"3581","Automatic Vending Machines","35","Industrial machinery and equipment","D","Manufacturing"
"3582","Commercial Laundry, Drycleaning, and Pressing","35","Industrial machinery and equipment","D","Manufacturing"
"3585","Air-Conditioning and Warm Air Heating","35","Industrial machinery and equipment","D","Manufacturing"
"3586","Measuring and Dispensing Pumps","35","Industrial machinery and equipment","D","Manufacturing"
"3589","Service Industry Machinery, NEC","35","Industrial machinery and equipment","D","Manufacturing"
"3592","Carburetors, Pistons, Piston Rings, and","35","Industrial machinery and equipment","D","Manufacturing"
"3593","Fluid Power Cylinders and Actuators","35","Industrial machinery and equipment","D","Manufacturing"
"3594","Fluid Power Pumps and Motors","35","Industrial machinery and equipment","D","Manufacturing"
"3596","Scales and Balances, Except Laboratory","35","Industrial machinery and equipment","D","Manufacturing"
"3599","Industrial and Commercial Machinery and","35","Industrial machinery and equipment","D","Manufacturing"
"3612","Power, Distribution, and Specialty","36","Electrical and electronic equipment","D","Manufacturing"
"3613","Switchgear and Switchboard Apparatus","36","Electrical and electronic equipment","D","Manufacturing"
"3621","Motors and Generators","36","Electrical and electronic equipment","D","Manufacturing"
"3624","Carbon and Graphite Products","36","Electrical and electronic equipment","D","Manufacturing"
"3625","Relays and Industrial Controls","36","Electrical and electronic equipment","D","Manufacturing"
"3629","Electrical Industrial Apparatus, NEC","36","Electrical and electronic equipment","D","Manufacturing"
"3631","Household Cooking Equipment","36","Electrical and electronic equipment","D","Manufacturing"
"3632","Household Refrigerators and Home and Farm","36","Electrical and electronic equipment","D","Manufacturing"
"3633","Household Laundry Equipment","36","Electrical and electronic equipment","D","Manufacturing"
"3634","Electric Housewares and Fans","36","Electrical and electronic equipment","D","Manufacturing"
"3635","Household Vacuum Cleaners","36","Electrical and electronic equipment","D","Manufacturing"
"3639","Household Appliances, NEC","36","Electrical and electronic equipment","D","Manufacturing"
"3641","Electric Lamp Bulbs and Tubes","36","Electrical and electronic equipment","D","Manufacturing"
"3643","Current-Carrying Wiring Devices","36","Electrical and electronic equipment","D","Manufacturing"
"3644","Noncurrent-Carrying Wiring Devices","36","Electrical and electronic equipment","D","Manufacturing"
"3645","Residential Electric Lighting Fixtures","36","Electrical and electronic equipment","D","Manufacturing"
"3646","Commercial, Industrial, and Institutional","36","Electrical and electronic equipment","D","Manufacturing"
"3647","Vehicular Lighting Equipment","36","Electrical and electronic equipment","D","Manufacturing"
"3648","Lighting Equipment, NEC","36","Electrical and electronic equipment","D","Manufacturing"
"3651","Household Audio and Video Equipment","36","Electrical and electronic equipment","D","Manufacturing"
"3652","Phonograph Records and Prerecorded Audio","36","Electrical and electronic equipment","D","Manufacturing"
"3661","Telephone and Telegraph Apparatus","36","Electrical and electronic equipment","D","Manufacturing"
"3663","Radio and Television Broadcasting and","36","Electrical and electronic equipment","D","Manufacturing"
"3669","Communications Equipment, NEC","36","Electrical and electronic equipment","D","Manufacturing"
"3671","Electron Tubes","36","Electrical and electronic equipment","D","Manufacturing"
"3672","Printed Circuit Boards","36","Electrical and electronic equipment","D","Manufacturing"
"3674","Semiconductors and Related Devices","36","Electrical and electronic equipment","D","Manufacturing"
"3675","Electronic Capacitors","36","Electrical and electronic equipment","D","Manufacturing"
"3676","Electronic Resistors","36","Electrical and electronic equipment","D","Manufacturing"
"3677","Electronic Coils, Transformers, and Other","36","Electrical and electronic equipment","D","Manufacturing"
"3678","Electronic Connectors","36","Electrical and electronic equipment","D","Manufacturing"
"3679","Electronic Components, NEC","36","Electrical and electronic equipment","D","Manufacturing"
"3691","Storage Batteries","36","Electrical and electronic equipment","D","Manufacturing"
"3692","Primary Batteries, Dry and Wet","36","Electrical and electronic equipment","D","Manufacturing"
"3694","Electrical Equipment for Internal Combustion","36","Electrical and electronic equipment","D","Manufacturing"
"3695","Magnetic and Optical Recording Media","36","Electrical and electronic equipment","D","Manufacturing"
"3699","Electrical Machinery, Equipment, and","36","Electrical and electronic equipment","D","Manufacturing"
"3711","Motor Vehicles and Passenger Car Bodies","37","Transportation equipment","D","Manufacturing"
"3713","Truck and Bus Bodies","37","Transportation equipment","D","Manufacturing"
"3714","Motor Vehicle Parts and Accessories","37","Transportation equipment","D","Manufacturing"
"3715","Truck Trailers","37","Transportation equipment","D","Manufacturing"
"3716","Motor  Homes","37","Transportation equipment","D","Manufacturing"
"3721","Aircraft","37","Transportation equipment","D","Manufacturing"
"3724","Aircraft Engines and Engine Parts","37","Transportation equipment","D","Manufacturing"
"3728","Aircraft Parts and Auxiliary Equipment, NEC","37","Transportation equipment","D","Manufacturing"
"3731","Ship Building and Repairing","37","Transportation equipment","D","Manufacturing"
"3732","Boat  Building and Repairing","37","Transportation equipment","D","Manufacturing"
"3743","Railroad Equipment","37","Transportation equipment","D","Manufacturing"
"3751","Motorcycles, Bicycles, and Parts","37","Transportation equipment","D","Manufacturing"
"3761","Guided Missiles and Space Vehicles","37","Transportation equipment","D","Manufacturing"
"3764","Guided Missile and Space Vehicle Propulsion","37","Transportation equipment","D","Manufacturing"
"3769","Guided Missile Space Vehicle Parts and","37","Transportation equipment","D","Manufacturing"
"3792","Travel Trailers and Campers","37","Transportation equipment","D","Manufacturing"
"3795","Tanks and Tank Components","37","Transportation equipment","D","Manufacturing"
"3799","Transportation Equipment, NEC","37","Transportation equipment","D","Manufacturing"
"3812","Search, Detection, Navigation, Guidance,","38","Instruments and related products","D","Manufacturing"
"3821","Laboratory Apparatus and Furniture","38","Instruments and related products","D","Manufacturing"
"3822","Automatic Controls for Regulating Residential","38","Instruments and related products","D","Manufacturing"
"3823","Industrial Instruments for Measurement,","38","Instruments and related products","D","Manufacturing"
"3824","Totalizing Fluid Meters and Counting Devices","38","Instruments and related products","D","Manufacturing"
"3825","Instruments for Measuring and Testing of","38","Instruments and related products","D","Manufacturing"
"3826","Laboratory Analytical Instruments","38","Instruments and related products","D","Manufacturing"
"3827","Optical Instruments and Lenses","38","Instruments and related products","D","Manufacturing"
"3829","Measuring and Controlling Devices, NEC","38","Instruments and related products","D","Manufacturing"
"3841","Surgical and Medical Instruments and","38","Instruments and related products","D","Manufacturing"
"3842","Orthopedic, Prosthetic, and Surgical","38","Instruments and related products","D","Manufacturing"
"3843","Dental Equipment and Supplies","38","Instruments and related products","D","Manufacturing"
"3844","X-Ray Apparatus and Tubes and Related","38","Instruments and related products","D","Manufacturing"
"3845","Electromedical and Electrotherapeutic","38","Instruments and related products","D","Manufacturing"
"3851","Ophthalmic Goods","38","Instruments and related products","D","Manufacturing"
"3861","Photographic Equipment and Supplies","38","Instruments and related products","D","Manufacturing"
"3873","Watches, Clocks, Clockwork Operated Devices","38","Instruments and related products","D","Manufacturing"
"3911","Jewelry, Precious Metal","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3914","Silverware, Plated Ware, and Stainless Steel","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3915","Jewelers' Findings and Materials, and","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3931","Musical Instruments","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3942","Dolls and Stuffed Toys","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3944","Games, Toys, and Children's Vehicles, Except","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3949","Sporting and Athletic Goods, NEC","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3951","Pens, Mechanical Pencils, and Parts","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3952","Lead Pencils, Crayons, and Artist's Materials","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3953","Marking Devices","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3955","Carbon Paper and Inked Ribbons","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3961","Costume Jewelry and Costume Novelties, Except","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3965","Fasteners, Buttons, Needles, and Pins","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3991","Brooms and Brushes","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3993","Signs and Advertising Specialties","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3995","Burial Caskets","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3996","Linoleum, Asphalted-Felt-Base, and Other Hard","39","Miscellaneous manufacturing industries","D","Manufacturing"
"3999","Manufacturing Industries, NEC","39","Miscellaneous manufacturing industries","D","Manufacturing"
"4011","Railroads, Line-haul Operating","40","Railroads","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4013","Railroad Switching and Terminal","40","Railroads","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4111","Local and Suburban Transit","41","Local and interurban passenger transit","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4119","Local Passenger Transportation, NEC","41","Local and interurban passenger transit","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4121","Taxicabs","41","Local and interurban passenger transit","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4131","Intercity and Rural Bus Transportation","41","Local and interurban passenger transit","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4141","Local Bus Charter Service","41","Local and interurban passenger transit","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4142","Bus Charter Service, Except Local","41","Local and interurban passenger transit","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4151","School Buses","41","Local and interurban passenger transit","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4173","Terminal and Service Facilities for Motor","41","Local and interurban passenger transit","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4212","Local Trucking Without Storage","42","Motor freight transportation and warehousing","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4213","Trucking, Except Local","42","Motor freight transportation and warehousing","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4214","Local Trucking with Storage","42","Motor freight transportation and warehousing","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4215","Courier Services Except by Air","42","Motor freight transportation and warehousing","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4221","Farm Product Warehousing and Storage","42","Motor freight transportation and warehousing","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4222","Refrigerated Warehousing and Storage","42","Motor freight transportation and warehousing","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4225","General Warehousing and Storage","42","Motor freight transportation and warehousing","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4226","Special Warehousing and Storage, NEC","42","Motor freight transportation and warehousing","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4231","Terminal and Joint Terminal Maintenance","42","Motor freight transportation and warehousing","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4311","United States Postal Service","43","U.S. Postal Service","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4412","Deep Sea Foreign Transportation of  Freight","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4424","Deep Sea Domestic Transportation of Freight","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4432","Freight Transportation on the Great Lakes -","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4449","Water Transportation of Freight, NEC","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4481","Deep Sea Transportation of Passengers, Except","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4482","Ferries","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4489","Water Transportation of Passengers, NEC","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4491","Marine Cargo Handling","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4492","Towing and Tugboat Services","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4493","Marinas","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4499","Water Transportation Services, NEC","44","Water transportation","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4512","Air Transportation, Scheduled","45","Transportation by air","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4513","Air Courier Services","45","Transportation by air","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4522","Air Transportation, Nonscheduled","45","Transportation by air","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4581","Airports, Flying Fields, and Airport Terminal","45","Transportation by air","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4612","Crude Petroleum Pipelines","46","Pipelines, except natural gas","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4613","Refined Petroleum Pipelines","46","Pipelines, except natural gas","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4619","Pipelines, NEC","46","Pipelines, except natural gas","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4724","Travel Agencies","47","Transportation services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4725","Tour Operators","47","Transportation services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4729","Arrangement of Passenger Transportation, NEC","47","Transportation services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4731","Arrangement of Transportation of  Freight and","47","Transportation services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4741","Rental of Railroad Cars","47","Transportation services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4783","Packing and Crating","47","Transportation services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4785","Fixed Facilities and Inspection and Weighing","47","Transportation services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4789","Transportation Services, NEC","47","Transportation services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4812","Radiotelephone Communications","48","Communications","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4813","Telephone Communications, Except","48","Communications","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4822","Telegraph and Other  Message Communications","48","Communications","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4832","Radio Broadcasting Stations","48","Communications","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4833","Television Broadcasting Stations","48","Communications","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4841","Cable and Other Pay Television Services","48","Communications","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4899","Communications Services, NEC","48","Communications","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4911","Electric Services","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4922","Natural Gas Transmission","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4923","Natural Gas Transmission and Distribution","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4924","Natural Gas Distribution","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4925","Mixed, Manufactured, or Liquefied Petroleum","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4931","Electric and Other Services Combined","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4932","Gas and Other Services Combined","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4939","Combination Utilities, NEC","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4941","Water Supply","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4952","Sewerage Systems","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4953","Refuse Systems","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4959","Sanitary Services, NEC","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4961","Steam and Air-Conditioning Supply","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"4971","Irrigation Systems","49","Electric, gas, and sanitary services","E","Transportation, Communications, Electric, Gas, And Sanitary Services "
"5012","Automobiles and Other Motor Vehicles","50","Wholesale trade--durable goods","F","Wholesale Trade"
"5013","Motor Vehicle Supplies and New Parts","50","Wholesale trade--durable goods","F","Wholesale Trade"
"5014","Tires and Tubes","50","Wholesale trade--durable goods","F","Wholesale Trade"
"5015","Motor Vehicle Parts, Used","50","Wholesale trade--durable goods","F","Wholesale Trade"
